t,cycle,leg,target,volt,shoulder_pitch_q,shoulder_pitch_cmd,shoulder_pitch_out,shoulder_pitch_i,shoulder_pitch_cur,shoulder_pitch_qd,shoulder_pitch_temp,shoulder_yaw_q,shoulder_yaw_cmd,shoulder_yaw_out,shoulder_yaw_i,shoulder_yaw_cur,shoulder_yaw_qd,shoulder_yaw_temp,shoulder_roll_q,shoulder_roll_cmd,shoulder_roll_out,shoulder_roll_i,shoulder_roll_cur,shoulder_roll_qd,shoulder_roll_temp,elbow_flex_q,elbow_flex_cmd,elbow_flex_out,elbow_flex_i,elbow_flex_cur,elbow_flex_qd,elbow_flex_temp,wrist_roll_q,wrist_roll_cmd,wrist_roll_out,wrist_roll_i,wrist_roll_cur,wrist_roll_qd,wrist_roll_temp,wrist_yaw_q,wrist_yaw_cmd,wrist_yaw_out,wrist_yaw_i,wrist_yaw_cur,wrist_yaw_qd,wrist_yaw_temp,wrist_pitch_q,wrist_pitch_cmd,wrist_pitch_out,wrist_pitch_i,wrist_pitch_cur,wrist_pitch_qd,wrist_pitch_temp
-0.0107,0,approach,-9.9,12.0,5.079,5.079,5.079,0.0,0.0,0.0,29.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,-8.0,0.0,0.0,29.0,-88.4,-88.0,-88.0,-24.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,29.0,9.756,9.756,9.756,0.0,0.0,0.0,29.0,23.299,23.299,23.299,0.0,0.0,0.0,30.0
0.0426,0,approach,-9.9,12.0,5.079,-9.9,4.865,0.0,0.0,0.0,29.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,-8.0,0.0,0.0,29.0,-88.4,-88.0,-88.0,-24.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,29.0,9.756,9.756,9.756,0.0,0.0,0.0,29.0,23.299,23.299,23.299,0.0,0.0,0.0,30.0
0.0956,0,approach,-9.9,12.0,4.989,-9.9,4.651,0.0,0.0,-1.01,29.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,-8.0,0.0,0.0,29.0,-88.4,-88.0,-88.0,-24.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,29.0,9.756,9.756,9.756,0.0,0.0,0.0,29.0,23.299,23.299,23.299,0.0,0.0,0.0,30.0
0.1494,0,approach,-9.9,12.0,4.899,-9.9,4.437,0.0,0.0,-1.494,29.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,-8.0,0.0,0.0,29.0,-88.4,-88.0,-88.0,-24.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,29.0,9.756,9.756,9.756,0.0,0.0,0.0,29.0,23.299,23.299,23.299,0.0,0.0,0.0,30.0
0.2018,0,approach,-9.9,12.0,4.899,-9.9,4.198,28.0,0.0,-1.494,29.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,-8.0,0.0,0.0,29.0,-88.4,-88.0,-88.0,-24.0,1.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,29.0,9.756,9.756,9.756,0.0,0.0,0.0,29.0,23.299,23.299,23.299,0.0,0.0,0.0,30.0
0.2556,0,approach,-9.9,12.0,4.539,-9.9,3.975,28.0,0.0,-1.957,29.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,-8.0,0.0,0.0,29.0,-88.4,-88.0,-88.0,-24.0,1.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,29.0,9.756,9.756,9.756,0.0,0.0,0.0,29.0,23.299,23.299,23.299,0.0,0.0,0.0,30.0
0.3091,0,approach,-9.9,12.0,4.27,-9.9,3.762,28.0,0.0,-3.384,29.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,-8.0,0.0,0.0,29.0,-88.4,-88.0,-88.0,-24.0,1.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,29.0,9.756,9.756,9.756,0.0,0.0,0.0,29.0,23.299,23.299,23.299,0.0,0.0,0.0,30.0
0.3624,0,approach,-9.9,12.0,3.91,-9.9,3.548,28.0,0.0,-5.089,29.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,-8.0,0.0,0.0,29.0,-88.4,-88.0,-88.0,-24.0,1.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,29.0,9.756,9.756,9.756,0.0,0.0,0.0,29.0,23.299,23.299,23.299,0.0,0.0,0.0,30.0
0.4156,0,approach,-9.9,12.0,3.73,-9.9,3.336,28.0,0.0,-4.22,29.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,-8.0,0.0,0.0,29.0,-88.4,-88.0,-88.0,-24.0,1.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,29.0,9.756,9.756,9.756,0.0,0.0,0.0,29.0,23.299,23.299,23.299,0.0,0.0,0.0,30.0
0.469,0,approach,-9.9,12.0,3.551,-9.9,3.122,28.0,0.0,-3.784,29.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,-8.0,0.0,0.0,29.0,-88.4,-88.0,-88.0,-24.0,1.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,29.0,9.756,9.756,9.756,0.0,0.0,0.0,29.0,23.299,23.299,23.299,0.0,0.0,0.0,30.0
